Normal,Inara ID,Internal key,Category,Commodity,Produced By,Consumed By,Combined Totals,Percentage of Total,,Combined Orbital structures,Percentage of Orbital,Combined Surface structures,Percentage of Surface,,Orbital - Starport - Coriolis,Orbital - Starport - Asteroid Base,Orbital - Starport - Ocellus,Orbital - Starport - Orbis,Orbital - Starport - Dodecahedron,Orbital - Outpost - Commercial,Orbital - Outpost - Industrial,Orbital - Outpost - Criminal,Orbital - Outpost - Civilian,Orbital - Outpost - Scientific,Orbital - Outpost - Military,Orbital - Installation - Satellite,Orbital - Installation - Comm Station,Orbital - Installation - Space Farm,Orbital - Installation - Pirate Base,Orbital - Installation - Mining Outpost,Orbital - Installation - Relay Station,Orbital - Installation - Military,Orbital - Installation - Security Station,Orbital - Installation - Government,Orbital - Installation - Medical,Orbital - Installation - Research Station,Orbital - Installation - Tourist,Orbital - Installation - Space Bar,Surface - Planetary Port - Outpost Civilian,Surface - Planetary Port - Outpost Industrial,Surface - Planetary Port - Outpost Scientific,Surface - Planetary Port - Port,Surface - Settlement - Agriculture T1 S,Surface - Settlement - Agriculture T1 M,Surface - Settlement - Agriculture T2 L,Surface - Settlement - Extraction T1 S,Surface - Settlement - Extraction T1 M,Surface - Settlement - Extraction T2 L,Surface - Settlement - Industrial T1 S,Surface - Settlement - Industrial T1 M,Surface - Settlement - Industrial T2 L,Surface - Settlement - Military T1 S,Surface - Settlement - Military T1 M,Surface - Settlement - Military T2 L,Surface - Settlement - Research Bio T1 S,Surface - Settlement - Research Bio T1 M,Surface - Settlement - Research Bio T2 L,Surface - Settlement - Tourism T1 S,Surface - Settlement - Tourism T1 M,Surface - Settlement - Tourism T2 L,Surface - Hub - Extraction,Surface - Hub - Civilian,Surface - Hub - Exploration,Surface - Hub - Outpost,Surface - Hub - Scientific,Surface - Hub - Military,Surface - Hub - Refinery,Surface - Hub - High Tech,Surface - Hub - Industrial,,,,,,,,,,,,,,,,,,,,,Orbital - Starport - Coriolis (Primary),Orbital - Starport - Asteroid Base (Primary),Orbital - Starport - Ocellus (Primary),Orbital - Starport - Orbis (Primary),Orbital - Starport - Dodecahedron (Primary),Orbital - Outpost - Commercial (Primary),Orbital - Outpost - Industrial (Primary),Orbital - Outpost - Criminal (Primary),Orbital - Outpost - Civilian (Primary),Orbital - Outpost - Scientific (Primary),Orbital - Outpost - Military (Primary)
,,,,,,,,,,,,,,Tier,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Orbital/Surface,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,,,,,"⊕ = only surface, ⊙ = only orbital","*Note: Government dependency is of the faction in control of the station, not system government.","1,503,906",,,"986,816",,"517,090",,Total:,"53,723","53,723","209,122","209,122","236,304","18,988","18,987","18,988","18,988","18,988","18,988","6,721","6,721","6,722","6,721","6,723","6,721","10,080","10,082","10,077","10,081","10,083","10,087","10,076","36,829","36,829","36,829","216,030","2,839","5,678","8,517","2,845","5,690","8,535","2,845","5,690","8,535","2,842","5,684","8,526","2,841","5,682","8,523","2,846","5,692","8,538","9,893","9,772","9,923","9,198","9,924","9,922","9,919","9,921","9,753",,,,,,,,,,,,,,,,,,,,,"70,533","70,533","242,742","242,742","269,924","21,835","21,835","21,835","21,835","21,835","21,835"
,,,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid Oxygen,137,liquidoxygen,,Liquid Oxygen,Refinery,Industrial,"110,320",7.34 %,,"80,434",8.15 %,"29,886",5.78 %,,3781,3781,15124,15124,17015,1553,1553,1553,1553,1553,1553,678,678,1071,911,1028,780,1424,1458,1479,1727,1506,1813,1738,2372,2372,2372,14232,224,448,672,177,354,531,272,544,816,172,344,516,351,702,1053,227,454,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,976","4,976","17,514","17,514","19,405","1,792","1,792","1,792","1,792","1,792","1,792"
Pesticides,6,pesticides,,Pesticides,High Tech,Agriculture,"1,257",0.08 %,,123,0.01 %,"1,134",0.22 %,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,126,252,378,,,,,,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surface Stabilisers,97,surfacestabilisers,,Surface Stabilisers,Refinery,"⊕ Agricultural, ⊕ High Tech, ⊕ Industrial, ⊕ Extraction, ⊕ Military, ⊕ Tourism, ⊕ Terraforming","14,492",0.96 %,,0,0.00 %,"14,492",2.80 %,,,,,,,,,,,,,,,,,,,,,,,,,,610,610,610,3660,56,112,168,89,178,267,68,136,204,60,120,180,81,162,243,57,114,171,756,588,1419,1061,534,583,558,539,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
