Structure,Max Pad,Prerequisites,System Unlock,Strong Link Unlock,T2,T3,,Security,Tech Level,Wealth,Standard of Living,Development Level,Facility Economy,Economy Influence,Init. Pop. Inc.,Max Pop. Inc.,Total amount of Commodities,# Trips with 1298 cargo space (L),# Trips with 400 cargo space (M)
Orbital - Starport - Coriolis (Primary),L,Primary slot,,,-3,1,,-2,2,3,3,3,Colony,,1,1,"70,533",55,177
Orbital - Starport - Asteroid Base (Primary),L,Primary slot,,,-3,1,,-1,3,5,-4,7,Extraction,,1,1,"70,533",55,177
Orbital - Starport - Ocellus (Primary),L,Primary slot,,,,-6,,-3,7,8,5,9,Colony,,5,1,"242,742",188,607
Orbital - Starport - Orbis (Primary),L,Primary slot,,,,-6,,-3,7,8,5,9,Colony,,5,1,"242,742",188,607
Orbital - Starport - Dodecahedron (Primary),L,Primary slot,,,,-6,,-4,8,9,7,10,Colony,,8,4,"269,924",208,675
Orbital - Outpost - Commercial (Primary),M,Primary slot,,,1,,,-1,,3,5,,Colony,,1,1,"21,835",17,55
Orbital - Outpost - Industrial (Primary),M,Primary slot,,,1,,,,3,,,3,Industrial,Industrial,1,1,"21,835",17,55
Orbital - Outpost - Criminal (Primary),M,Primary slot,,,1,,,-2,,3,,,Contraband,Contraband,1,1,"21,835",17,55
Orbital - Outpost - Civilian (Primary),M,Primary slot,,,1,,,-1,,1,2,1,Colony,,1,1,"21,835",17,55
Orbital - Outpost - Scientific (Primary),M,Primary slot,,,1,,,,3,,,,High Tech,High Tech,1,1,"21,835",17,55
Orbital - Outpost - Military (Primary),M,Primary slot,,,1,,,2,,,,,Military,Military,1,1,"21,835",17,55
Orbital - Starport - Coriolis,L,,,,-3,1,,-2,2,3,3,3,Colony,,1,1,"53,723",42,135
Orbital - Starport - Asteroid Base,L,,,,-3,1,,-1,3,5,-4,7,Extraction,,1,1,"53,723",42,135
Orbital - Starport - Ocellus,L,,,,,-6,,-3,7,8,5,9,Colony,,5,1,"209,122",162,523
Orbital - Starport - Orbis,L,,,,,-6,,-3,7,8,5,9,Colony,,5,1,"209,122",162,523
Orbital - Starport - Dodecahedron,L,,,,,-6,,-4,8,9,7,10,Colony,,8,4,"236,304",183,591
Orbital - Outpost - Commercial,M,,,,1,,,-1,,3,5,,Colony,,1,1,"18,988",15,48
Orbital - Outpost - Industrial,M,,,,1,,,,3,,,3,Industrial,Industrial,1,1,"18,987",15,48
Orbital - Outpost - Criminal,M,,,,1,,,-2,,3,,,Contraband,Contraband,1,1,"18,988",15,48
Orbital - Outpost - Civilian,M,,,,1,,,-1,,1,2,1,Colony,,1,1,"18,988",15,48
Orbital - Outpost - Scientific,M,,,,1,,,,3,,,,High Tech,High Tech,1,1,"18,988",15,48
Orbital - Outpost - Military,M,,,,1,,,2,,,,,Military,Military,1,1,"18,988",15,48
Orbital - Installation - Satellite,❌,,Tourist Settlements,UC & VG at T1 Surface or T2 orbital ports,1,,,,,1,2,1,,,,,"6,721",6,17
Orbital - Installation - Comm Station,❌,,Exploration Hub,"UC & VG, Commodities at Pirate, Scientific or Military Outposts",1,,,1,3,,,,,,,,"6,721",6,17
Orbital - Installation - Space Farm,❌,,Outpost Hub,,1,,,,,,5,1,*Agricultural,Agricultural,,,"6,722",6,17
Orbital - Installation - Pirate Base,❌,,,Black Market,1,,,-4,,4,,,*Contraband,Contraband,,,"6,721",6,17
Orbital - Installation - Mining Outpost,❌,,Industrial Hub,,1,,,,,4,-2,,*Extraction,Extraction,,,"6,723",6,17
